Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52873637.36027822,0.0
14439629.099533154,38540260.76420462,52979889.86373778,0.0
14640881.53763132,38455602.19189735,53096483.72952867,0.0
14842543.100859858,38380344.8255564,53222887.926416256,0.0
15044923.758035498,38313739.19520053,53358662.95323603,0.0
15247816.019716727,38255135.46724563,53502951.486962356,0.0
15450688.018913468,38204014.89855883,53654702.9174723,0.0
15653960.276384931,38159944.61240689,53813904.88879182,0.0
15857272.128023852,38122544.762834236,53979816.890858084,0.0
16060834.675619,38091474.63825229,54152309.31387129,0.0
16264712.3519341,38066439.45951293,54331151.811447024,0.0
16468626.593603356,38047168.786676444,54515795.380279794,0.0
16671802.498358117,38033358.29721393,54705160.79557204,0.0
16874396.051262498,38024733.15268624,54899129.203948736,0.0
17077007.946765658,38021048.98865755,55098056.9354232,0.0
17280058.27920201,38022091.03593656,55302149.31513857,0.0
17481938.192845274,38027632.06987474,55509570.26272001,0.0
17682074.355798867,38037388.74664192,55719463.10244078,0.0
17882540.927762676,38051145.02520575,55933685.952968426,0.0
18083479.623723295,38068761.90321639,56152241.52693968,0.0
18284269.18268543,38090085.658543095,56374354.84122853,0.0
18484703.002719987,38114976.74227419,56599679.74499417,0.0
18684163.68569615,38143257.95744295,56827421.6431391,0.0
18882786.837122098,38174767.30450315,57057554.14162525,0.0
19080708.374173205,38209429.39540353,57290137.769576736,0.0
19278214.248922028,38247039.8859516,57525254.13487363,0.0
19474843.978843912,38287472.42229596,57762316.40113986,0.0
19670654.353485465,38330599.142136164,58001253.49562163,0.0
19865854.907126505,38376297.36833377,58242152.27546028,0.0
20060615.201605484,38424448.768015265,58485063.96962076,0.0
20253810.985269047,38474945.132918775,58728756.11818782,0.0
20446545.018883973,38527720.851987235,58974265.87087121,0.0
20638581.351531487,38582494.24121299,59221075.59274447,0.0
20821805.336195625,38639028.76791719,59460834.10411282,0.0
21004094.90353338,38697216.488505416,59701311.3920388,0.0
21185639.074177142,38757100.41297515,59942739.48715229,0.0
21366175.694148894,38818655.94843348,60184831.64258238,0.0
21548385.909608606,38881882.50682338,60430268.416431986,0.0
21730181.655649617,38946783.68228438,60676965.337933995,0.0
21911042.701311573,39013335.4776739,60924378.178985484,0.0
22091309.97747154,39081495.89531988,61172805.87279142,0.0
