period,oha,ohv,ogs,ocp,ocf
1,7116.419130924776,766066.0,6115995.608585447,26611540.82942575,-479856.874010375
2,7472.240087471012,727762.6999999995,7864868.122883039,27568617.28676566,-484126.4645487343
3,7472.240087471012,727762.6999999996,9854916.945808617,28367213.821062904,-474112.3980019776
4,7472.240087471016,727762.6999999996,11943945.015729405,28952174.947575647,-460751.9546839069
5,7472.2400874710165,727762.6999999998,14000541.897258218,29184225.959059473,-432245.7515578445
6,7091.268118340011,727762.6999999996,15916835.488544546,29157020.13508178,-426387.13613785064
7,6760.598174378533,727762.6999999996,17607136.698517803,29079543.349608306,-440445.62420007185
8,6760.598174378535,727762.6999999997,19053807.180370245,29046381.73597783,-467190.3298449524
9,6760.598174378538,727762.6999999997,20253920.67704618,29071200.136456884,-490905.83967226377
10,6760.598174378538,727762.6999999993,21270600.708933108,29155988.46466891,-494164.9580676626
