Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-468659.86495817406,39192.4436192976,0.0,-7364.118322580642,-306.62409445161273
1606482.2789892564,-2112336.1832102737,-470904.46947975445,42620.17715829539,0.0,-7364.118322580642,-306.62409445161273
1617333.0696080052,-2127450.148186882,-472763.9502880211,45023.87070788787,0.0,-7364.118322580642,-306.62409445161273
1628126.27130303,-2142533.651920808,-475322.9398945433,46755.183140267145,0.0,-7364.118322580642,-306.62409445161273
1638847.0779621457,-2157405.8360304483,-478185.5385443458,48043.96194098911,0.0,-7364.118322580642,-306.62409445161273
1649487.7128556406,-2172224.09227385,-481366.663289902,49040.458545339716,0.0,-7364.118322580642,-306.62409445161273
1660035.8722198664,-2186853.5155790495,-484645.4727969877,49842.91297922754,0.0,-7364.118322580642,-306.62409445161273
1670481.2589194207,-2200460.441727845,-487134.3468086951,50515.57841676147,0.0,-7364.118322580642,-306.62409445161273
1680816.6558127305,-2212473.815667133,-488227.4033450125,51100.49892642225,0.0,-7364.118322580642,-306.62409445161273
1766656.639167866,-2141049.919414253,-330438.8172782145,51625.205385204674,0.0,-7364.118322580642,-306.62409445161273
1758796.6217026,-2159162.596430146,-358150.82301905716,49502.35700466947,0.0,-6995.912406451611,-291.2928897290322
1754131.948403985,-2176091.2334272596,-379314.5251682412,49931.9651512143,0.0,-6995.912406451611,-291.2928897290322
1751929.2774094546,-2191895.5043211253,-396913.2559631915,50340.17624465993,0.0,-6995.912406451611,-291.2928897290322
1751653.8235542132,-2207695.735877707,-412597.2365942222,50731.88102545245,0.0,-6995.912406451611,-291.2928897290322
1752898.3462764407,-2221698.775596182,-424977.30937946314,51110.32523645878,0.0,-6995.912406451611,-291.2928897290322
1755348.2513911529,-2235162.913747337,-435624.1889069688,51477.67874539637,0.0,-6995.912406451611,-291.2928897290322
1758764.0733888466,-2249320.7333533834,-446008.45781664643,51835.40744407074,0.0,-6995.912406451611,-291.2928897290322
1762959.0787352147,-2262161.3358224398,-454304.94610702316,52184.516276382776,0.0,-6995.912406451611,-291.2928897290322
1767781.468798741,-2274931.3868556293,-461911.4152949795,52525.70805808951,0.0,-6995.912406451611,-291.2928897290322
1852472.0429755484,-2192485.3078003954,-294440.9828487273,52859.48727229997,0.0,-6995.912406451611,-291.2928897290322
1839467.5872620593,-2207473.6166196507,-322107.00674347486,53186.22791029705,0.0,-6995.912406451608,-291.292889729032
1830137.6784762163,-2223145.091846788,-346788.4008484847,53506.21781826753,0.0,-6995.912406451608,-291.292889729032
1823704.8188548281,-2237898.822631488,-367661.5213808202,53819.68769202052,0.0,-6995.912406451608,-291.292889729032
1819588.0922658308,-2251839.494285407,-385411.7772758053,54126.83003995155,0.0,-6995.912406451608,-291.292889729032
1817335.5384063432,-2264669.86358161,-400193.71888079116,54427.811590655896,0.0,-6995.912406451608,-291.292889729032
1816597.6832487658,-2277035.9731610003,-413002.7137916436,54722.78141677153,0.0,-6995.912406451608,-291.292889729032
1817103.280882774,-2289723.0406187708,-424895.08877280855,55011.87625936906,0.0,-6995.912406451608,-291.292889729032
1818636.114648596,-2301740.1522192354,-435096.0188440331,55295.224022787064,0.0,-6995.912406451608,-291.292889729032
1821022.300446549,-2313368.861291572,-444060.8200675272,55572.946073676496,0.0,-6995.912406451608,-291.292889729032
1904966.8353533822,-2226630.4130921904,-273105.6242766105,55845.158758378166,0.0,-6995.912406451608,-291.292889729032
1889906.8762212854,-2240008.386258993,-301276.7409246489,56111.974409239054,0.0,-6995.912406451611,-291.2928897290322
1878575.8753777433,-2252659.4066380123,-324997.23453975556,56373.50201669407,0.0,-6995.912406451611,-291.2928897290322
1870219.914719144,-2265755.428103657,-346192.8709980313,56629.847682662476,0.0,-6995.912406451611,-291.2928897290322
1864272.616062765,-2277988.044138558,-364121.5184412064,56881.11493076761,0.0,-6995.912406451611,-291.2928897290322
1860292.3589876294,-2289359.894137283,-379227.33552310965,57127.40492272451,0.0,-6995.912406451611,-291.2928897290322
1857931.5754371195,-2300123.887770733,-392110.70101664955,57368.81661314456,0.0,-6995.912406451611,-291.2928897290322
1856916.9343938625,-2311150.352028528,-403915.1760670123,57605.4468638341,0.0,-6995.912406451611,-291.2928897290322
1857029.1386582113,-2321604.2801845237,-414024.95629112766,57837.3905313655,0.0,-6995.912406451611,-291.2928897290322
1858089.6321004254,-2330941.2723107594,-422074.10496958625,58064.74053692828,0.0,-6995.912406451611,-291.2928897290322
1944697.9494919474,-2241683.397999044,-245985.06587892558,58287.587924351436,0.0,-6995.912406451611,-291.2928897290322
1928543.3228767642,-2251631.1808211594,-271869.0413304245,58506.021910151416,0.0,-6995.91240645161,-291.2928897290321
1915925.0639342696,-2260989.308804058,-293631.32023783994,58720.12992812913,0.0,-6995.91240645161,-291.2928897290321
1906189.474617319,-2269505.639915101,-311673.3729237934,58929.99767016961,0.0,-6995.91240645161,-291.2928897290321
1898797.6455456405,-2277900.844308789,-327254.6949349997,59135.70912432932,0.0,-6995.91240645161,-291.2928897290321
