period,oha,ohv,ogs,ocp,ocf
1,2619.6909819455645,306426.4,6656748.079173682,26672205.910263296,-490552.9199046213
2,2683.780065014387,291105.08,8976433.650381578,27743126.587139107,-524029.8343614341
3,2750.675531042843,291105.08,11609622.0424449,28686691.288493045,-541764.9674728067
4,2635.6702055928818,291105.07999999984,14399950.366901837,29439843.62456521,-553171.9515142351
5,2488.7064328482857,291105.0800000001,17197262.07558492,29920733.391132895,-553434.7779156977
6,2750.6755310428425,291105.07999999996,19873842.39560884,30159355.038359378,-555498.0960626459
7,2750.675531042842,291105.08,22340801.4486587,30262452.754188146,-561181.2396999518
8,2750.675531042843,291105.07999999996,24550391.379555915,30326542.414219238,-565508.5323123022
9,2488.7064328482857,291105.08,26464121.85364601,30376403.611746605,-567614.5803029694
10,2488.7064328482857,291105.0799999999,28085508.60409205,30437567.643463902,-566307.3658002481
